report_name,report_agency,date,visits,language
Browser language,Department of Agriculture,1/25/24,114,nl
Browser language,Department of Agriculture,1/25/24,107,nb-no
Browser language,Department of Agriculture,1/24/24,500073,en-us
Browser language,Department of Agriculture,1/24/24,12667,en-gb
Browser language,Department of Agriculture,1/24/24,4365,es-419
Browser language,Department of Agriculture,1/24/24,3869,es-us
Browser language,Department of Agriculture,1/24/24,3839,en-ca
Browser language,Department of Agriculture,1/24/24,3308,zh-cn
Browser language,Department of Agriculture,1/24/24,3140,es-es
Browser language,Department of Agriculture,1/24/24,2532,en
Browser language,Department of Agriculture,1/24/24,1445,en-au
Browser language,Department of Agriculture,1/24/24,1303,en-in
Browser language,Department of Agriculture,1/24/24,1219,es-mx
Browser language,Department of Agriculture,1/24/24,1104,pt-br
Browser language,Department of Agriculture,1/24/24,1056,ja
Browser language,Department of Agriculture,1/24/24,1026,fr-fr
Browser language,Department of Agriculture,1/24/24,992,de-de
Browser language,Department of Agriculture,1/24/24,965,ko-kr
Browser language,Department of Agriculture,1/24/24,831,es
Browser language,Department of Agriculture,1/24/24,623,ru
Browser language,Department of Agriculture,1/24/24,596,ru-ru
Browser language,Department of Agriculture,1/24/24,566,it-it
Browser language,Department of Agriculture,1/24/24,507,zh-tw
Browser language,Department of Agriculture,1/24/24,501,de
Browser language,Department of Agriculture,1/24/24,431,fr
Browser language,Department of Agriculture,1/24/24,394,nl-nl
Browser language,Department of Agriculture,1/24/24,358,pl-pl
Browser language,Department of Agriculture,1/24/24,351,tr-tr
Browser language,Department of Agriculture,1/24/24,308,vi-vn
Browser language,Department of Agriculture,1/24/24,298,fr-ca
Browser language,Department of Agriculture,1/24/24,292,ar
Browser language,Department of Agriculture,1/24/24,270,id-id
Browser language,Department of Agriculture,1/24/24,244,pt-pt
Browser language,Department of Agriculture,1/24/24,221,ko
Browser language,Department of Agriculture,1/24/24,220,el-gr
Browser language,Department of Agriculture,1/24/24,208,en-za
Browser language,Department of Agriculture,1/24/24,196,en-ph
Browser language,Department of Agriculture,1/24/24,189,th-th
Browser language,Department of Agriculture,1/24/24,185,sv-se
Browser language,Department of Agriculture,1/24/24,167,en-nz
Browser language,Department of Agriculture,1/24/24,149,id
Browser language,Department of Agriculture,1/24/24,148,en-sg
Browser language,Department of Agriculture,1/24/24,133,he-il
Browser language,Department of Agriculture,1/24/24,126,da-dk
Browser language,Department of Agriculture,1/24/24,125,cs-cz
Browser language,Department of Agriculture,1/24/24,123,uk-ua
Browser language,Department of Agriculture,1/24/24,120,nb-no
Browser language,Department of Agriculture,1/24/24,120,nl
Browser language,Department of Agriculture,1/24/24,114,hu-hu
Browser language,Department of Agriculture,1/24/24,110,pl
Browser language,Department of Agriculture,1/23/24,515845,en-us
Browser language,Department of Agriculture,1/23/24,13471,en-gb
Browser language,Department of Agriculture,1/23/24,4406,es-419
Browser language,Department of Agriculture,1/23/24,3999,en-ca
Browser language,Department of Agriculture,1/23/24,3829,es-us
Browser language,Department of Agriculture,1/23/24,3248,zh-cn
Browser language,Department of Agriculture,1/23/24,3111,es-es
Browser language,Department of Agriculture,1/23/24,2610,en
Browser language,Department of Agriculture,1/23/24,1564,en-au
Browser language,Department of Agriculture,1/23/24,1332,en-in
Browser language,Department of Agriculture,1/23/24,1217,pt-br
Browser language,Department of Agriculture,1/23/24,1168,es-mx
Browser language,Department of Agriculture,1/23/24,1127,fr-fr
Browser language,Department of Agriculture,1/23/24,1087,ja
Browser language,Department of Agriculture,1/23/24,916,de-de
Browser language,Department of Agriculture,1/23/24,854,es
Browser language,Department of Agriculture,1/23/24,737,ko-kr
Browser language,Department of Agriculture,1/23/24,644,it-it
Browser language,Department of Agriculture,1/23/24,600,ru
Browser language,Department of Agriculture,1/23/24,591,ru-ru
Browser language,Department of Agriculture,1/23/24,579,zh-tw
Browser language,Department of Agriculture,1/23/24,555,de
Browser language,Department of Agriculture,1/23/24,424,nl-nl
Browser language,Department of Agriculture,1/23/24,421,fr
Browser language,Department of Agriculture,1/23/24,410,tr-tr
Browser language,Department of Agriculture,1/23/24,323,fr-ca
Browser language,Department of Agriculture,1/23/24,308,ar
Browser language,Department of Agriculture,1/23/24,305,id-id
Browser language,Department of Agriculture,1/23/24,294,pl-pl
Browser language,Department of Agriculture,1/23/24,288,vi-vn
Browser language,Department of Agriculture,1/23/24,276,ko
Browser language,Department of Agriculture,1/23/24,233,en-za
Browser language,Department of Agriculture,1/23/24,218,th-th
Browser language,Department of Agriculture,1/23/24,216,el-gr
Browser language,Department of Agriculture,1/23/24,204,pt-pt
Browser language,Department of Agriculture,1/23/24,200,sv-se
Browser language,Department of Agriculture,1/23/24,193,en-ph
