report_name,report_agency,date,os,visits,browser
Operating system and browser,Department of Agriculture,1/22/24,Macintosh,240,Edge
Operating system and browser,Department of Agriculture,1/22/24,Macintosh,214,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/22/24,(not set),123,(not set)
Operating system and browser,Department of Agriculture,1/22/24,Linux,118,Samsung Internet
Operating system and browser,Department of Agriculture,1/22/24,(not set),115,Opera Mini
Operating system and browser,Department of Agriculture,1/22/24,Windows,113,Internet Explorer
Operating system and browser,Department of Agriculture,1/21/24,iOS,108664,Safari
Operating system and browser,Department of Agriculture,1/21/24,Android,63914,Chrome
Operating system and browser,Department of Agriculture,1/21/24,Windows,51486,Chrome
Operating system and browser,Department of Agriculture,1/21/24,Macintosh,22802,Safari
Operating system and browser,Department of Agriculture,1/21/24,Macintosh,18288,Chrome
Operating system and browser,Department of Agriculture,1/21/24,Windows,17795,Edge
Operating system and browser,Department of Agriculture,1/21/24,iOS,16127,Chrome
Operating system and browser,Department of Agriculture,1/21/24,Linux,10941,Chrome
Operating system and browser,Department of Agriculture,1/21/24,iOS,6750,Safari (in-app)
Operating system and browser,Department of Agriculture,1/21/24,Chrome OS,5529,Chrome
Operating system and browser,Department of Agriculture,1/21/24,Android,4213,Samsung Internet
Operating system and browser,Department of Agriculture,1/21/24,Android,3864,Android Webview
Operating system and browser,Department of Agriculture,1/21/24,Windows,3730,Firefox
Operating system and browser,Department of Agriculture,1/21/24,Macintosh,2023,Firefox
Operating system and browser,Department of Agriculture,1/21/24,Android,759,Firefox
Operating system and browser,Department of Agriculture,1/21/24,Android,584,Amazon Silk
Operating system and browser,Department of Agriculture,1/21/24,Windows,537,Opera
Operating system and browser,Department of Agriculture,1/21/24,Macintosh,317,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/21/24,Windows,308,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/21/24,Android,293,Opera
Operating system and browser,Department of Agriculture,1/21/24,iOS,279,(not set)
Operating system and browser,Department of Agriculture,1/21/24,Linux,267,Firefox
Operating system and browser,Department of Agriculture,1/21/24,(not set),139,(not set)
Operating system and browser,Department of Agriculture,1/21/24,Macintosh,120,Edge
Operating system and browser,Department of Agriculture,1/21/24,Linux,114,Samsung Internet
Operating system and browser,Department of Agriculture,1/21/24,(not set),105,Opera Mini
Operating system and browser,Department of Agriculture,1/20/24,iOS,102856,Safari
Operating system and browser,Department of Agriculture,1/20/24,Android,61569,Chrome
Operating system and browser,Department of Agriculture,1/20/24,Windows,44114,Chrome
Operating system and browser,Department of Agriculture,1/20/24,Macintosh,19692,Safari
Operating system and browser,Department of Agriculture,1/20/24,Windows,15442,Edge
Operating system and browser,Department of Agriculture,1/20/24,iOS,15292,Chrome
Operating system and browser,Department of Agriculture,1/20/24,Macintosh,13501,Chrome
Operating system and browser,Department of Agriculture,1/20/24,Linux,10926,Chrome
Operating system and browser,Department of Agriculture,1/20/24,iOS,8053,Safari (in-app)
Operating system and browser,Department of Agriculture,1/20/24,Android,5277,Android Webview
Operating system and browser,Department of Agriculture,1/20/24,Chrome OS,4056,Chrome
Operating system and browser,Department of Agriculture,1/20/24,Android,4030,Samsung Internet
Operating system and browser,Department of Agriculture,1/20/24,Windows,3354,Firefox
Operating system and browser,Department of Agriculture,1/20/24,Macintosh,1800,Firefox
Operating system and browser,Department of Agriculture,1/20/24,Android,774,Firefox
Operating system and browser,Department of Agriculture,1/20/24,Android,606,Amazon Silk
Operating system and browser,Department of Agriculture,1/20/24,Macintosh,496,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/20/24,Windows,449,Opera
Operating system and browser,Department of Agriculture,1/20/24,iOS,289,(not set)
Operating system and browser,Department of Agriculture,1/20/24,Linux,282,Firefox
Operating system and browser,Department of Agriculture,1/20/24,Android,253,Opera
Operating system and browser,Department of Agriculture,1/20/24,(not set),189,(not set)
Operating system and browser,Department of Agriculture,1/20/24,(not set),118,Opera Mini
Operating system and browser,Department of Agriculture,1/20/24,Linux,110,Samsung Internet
Operating system and browser,Department of Agriculture,1/19/24,Windows,155046,Chrome
Operating system and browser,Department of Agriculture,1/19/24,iOS,105889,Safari
Operating system and browser,Department of Agriculture,1/19/24,Windows,61439,Edge
Operating system and browser,Department of Agriculture,1/19/24,Android,60897,Chrome
Operating system and browser,Department of Agriculture,1/19/24,Macintosh,25896,Safari
Operating system and browser,Department of Agriculture,1/19/24,Macintosh,23129,Chrome
Operating system and browser,Department of Agriculture,1/19/24,Chrome OS,21766,Chrome
Operating system and browser,Department of Agriculture,1/19/24,iOS,15052,Chrome
Operating system and browser,Department of Agriculture,1/19/24,Linux,10798,Chrome
Operating system and browser,Department of Agriculture,1/19/24,Windows,7507,Firefox
Operating system and browser,Department of Agriculture,1/19/24,iOS,6940,Safari (in-app)
Operating system and browser,Department of Agriculture,1/19/24,Android,4294,Samsung Internet
Operating system and browser,Department of Agriculture,1/19/24,Android,3430,Android Webview
Operating system and browser,Department of Agriculture,1/19/24,Macintosh,2145,Firefox
Operating system and browser,Department of Agriculture,1/19/24,Windows,849,Opera
Operating system and browser,Department of Agriculture,1/19/24,Windows,784,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/19/24,Android,739,Firefox
Operating system and browser,Department of Agriculture,1/19/24,Android,632,Amazon Silk
Operating system and browser,Department of Agriculture,1/19/24,iOS,321,(not set)
Operating system and browser,Department of Agriculture,1/19/24,Linux,314,Firefox
Operating system and browser,Department of Agriculture,1/19/24,Android,235,Opera
Operating system and browser,Department of Agriculture,1/19/24,Macintosh,223,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/19/24,Macintosh,162,Edge
Operating system and browser,Department of Agriculture,1/19/24,Windows,134,Internet Explorer
Operating system and browser,Department of Agriculture,1/19/24,(not set),125,(not set)
Operating system and browser,Department of Agriculture,1/19/24,Linux,120,Samsung Internet
Operating system and browser,Department of Agriculture,1/18/24,Windows,187560,Chrome
Operating system and browser,Department of Agriculture,1/18/24,iOS,108639,Safari
Operating system and browser,Department of Agriculture,1/18/24,Windows,74654,Edge
Operating system and browser,Department of Agriculture,1/18/24,Android,63096,Chrome
Operating system and browser,Department of Agriculture,1/18/24,Chrome OS,29731,Chrome
Operating system and browser,Department of Agriculture,1/18/24,Macintosh,28999,Safari
Operating system and browser,Department of Agriculture,1/18/24,Macintosh,28583,Chrome
Operating system and browser,Department of Agriculture,1/18/24,iOS,15409,Chrome
Operating system and browser,Department of Agriculture,1/18/24,Linux,10512,Chrome
Operating system and browser,Department of Agriculture,1/18/24,Windows,8658,Firefox
Operating system and browser,Department of Agriculture,1/18/24,iOS,6815,Safari (in-app)
Operating system and browser,Department of Agriculture,1/18/24,Android,4492,Samsung Internet
Operating system and browser,Department of Agriculture,1/18/24,Android,2682,Android Webview
Operating system and browser,Department of Agriculture,1/18/24,Macintosh,2279,Firefox
Operating system and browser,Department of Agriculture,1/18/24,Windows,1854,Opera
Operating system and browser,Department of Agriculture,1/18/24,Windows,937,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/18/24,Android,695,Firefox
Operating system and browser,Department of Agriculture,1/18/24,Android,603,Amazon Silk
Operating system and browser,Department of Agriculture,1/18/24,iOS,372,(not set)
Operating system and browser,Department of Agriculture,1/18/24,Linux,347,Firefox
Operating system and browser,Department of Agriculture,1/18/24,Android,310,Opera
Operating system and browser,Department of Agriculture,1/18/24,Macintosh,194,Edge
Operating system and browser,Department of Agriculture,1/18/24,Macintosh,189,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/18/24,Windows,159,Internet Explorer
Operating system and browser,Department of Agriculture,1/18/24,Linux,146,Samsung Internet
Operating system and browser,Department of Agriculture,1/17/24,Windows,176461,Chrome
Operating system and browser,Department of Agriculture,1/17/24,iOS,109614,Safari
Operating system and browser,Department of Agriculture,1/17/24,Windows,72078,Edge
Operating system and browser,Department of Agriculture,1/17/24,Android,64175,Chrome
Operating system and browser,Department of Agriculture,1/17/24,Macintosh,29916,Safari
Operating system and browser,Department of Agriculture,1/17/24,Macintosh,27845,Chrome
Operating system and browser,Department of Agriculture,1/17/24,Chrome OS,25186,Chrome
Operating system and browser,Department of Agriculture,1/17/24,iOS,15163,Chrome
Operating system and browser,Department of Agriculture,1/17/24,Linux,10412,Chrome
Operating system and browser,Department of Agriculture,1/17/24,Windows,7922,Firefox
Operating system and browser,Department of Agriculture,1/17/24,iOS,6474,Safari (in-app)
Operating system and browser,Department of Agriculture,1/17/24,Android,4362,Samsung Internet
Operating system and browser,Department of Agriculture,1/17/24,Android,2805,Android Webview
Operating system and browser,Department of Agriculture,1/17/24,Macintosh,2356,Firefox
Operating system and browser,Department of Agriculture,1/17/24,Windows,1029,Opera
Operating system and browser,Department of Agriculture,1/17/24,Android,731,Firefox
Operating system and browser,Department of Agriculture,1/17/24,Android,620,Amazon Silk
Operating system and browser,Department of Agriculture,1/17/24,Windows,360,Mozilla Compatible Agent
Operating system and browser,Department of Agriculture,1/17/24,Linux,359,Firefox
